Energy,Diameter,Angle,Difference,Area
9,6.5,0,-2,NA
9,7,15,-2,NA
9,5.5,0,-3,NA
9,5.5,0,-5,NA
6,5.5,15,-1,NA
9,6,15,-10,NA
9,5.5,0,5,1.2
9,6,0,-2,8.2
6,6,0,-39,1
9,6.5,30,4,4.9
9,7,30,4,21.2
6,6.5,0,-1,8.7
9,6,0,-7,5.5
9,5.5,15,5,2.1
9,5.5,15,-35,13.3
9,6,15,1,5.8
9,6,15,3,0
9,5,15,8,0
9,5,15,3,11.7
9,5,15,0,0.3
6,6,15,-1,2.6
9,5,15,-1,0
9,5.5,0,4,4.3
9,5,0,-9,3
9,5.5,0,3,0
9,5.5,15,1,8.7
9,5.5,15,3,4.8
9,5,30,7,1.4
6,5,30,-9,0
9,6,15,-8,0
9,5.5,30,-3,8.4
6,5.5,15,1,6.8
9,5.5,15,-4,4.1
6,5.5,15,-1,0
9,6.5,0,-5,11.4
9,5.5,15,-5,1.5
9,5.5,30,-1,4.7
